Item,Gender,Measure,Gamma,Delta,Probability
goes to the movies,female,existence,0.8829935090616345,3.420829528477043,0.0016
goes to the movies,female,existence,0.8590825332794338,3.420829528477043,0.0033999999999999994
goes to the movies,female,existence,0.8085985330399126,3.420829528477043,0.0017999999999999993
goes to the movies,female,existence,0.8085985330399126,1.9392245914787054,0.0008
goes to the movies,female,existence,0.8381942107807845,1.9392245914787054,0.0005999999999999994
goes to the movies,female,existence,0.7947043308522552,1.9392245914787054,0.005199999999999997
goes to the movies,female,existence,0.8079136214219034,1.9392245914787054,0.00019999999999999985
goes to the movies,female,existence,0.8298664239700884,1.9392245914787054,0.0011999999999999988
goes to the movies,female,existence,0.8399379004258662,1.9392245914787054,0.0008
goes to the movies,female,existence,0.834659454645589,1.9392245914787054,0.014199999999999994
goes to the movies,female,existence,0.8331255977973342,1.9392245914787054,0.0011999999999999988
goes to the movies,female,existence,0.8062356077134609,1.9392245914787054,0.006399999999999995
goes to the movies,female,existence,0.8153957116883248,1.9392245914787054,0.004600000000000001
goes to the movies,female,existence,0.8416351075284183,1.9392245914787054,0.0020000000000000013
goes to the movies,female,existence,0.7796525130979717,1.9392245914787054,0.004600000000000001
goes to the movies,female,existence,0.7917118526529521,1.9392245914787054,0.0025999999999999986
goes to the movies,female,existence,0.7712378869764507,1.9392245914787054,0.0008
goes to the movies,female,existence,0.8303590975701809,1.9392245914787054,0.002999999999999998
goes to the movies,female,existence,0.8275284769479185,1.9392245914787054,0.0017999999999999993
goes to the movies,female,existence,0.8088265396654606,1.9392245914787054,0.014399999999999994
goes to the movies,female,existence,0.8655115335714072,1.9392245914787054,0.007400000000000002
goes to the movies,female,existence,0.8655115335714072,2.3315416066907346,0.006599999999999997
goes to the movies,female,existence,0.8442216969560832,2.3315416066907346,0.0024
goes to the movies,female,existence,0.8529193471185863,2.3315416066907346,0.007800000000000002
goes to the movies,female,existence,0.8792682040948421,2.3315416066907346,0.0011999999999999988
goes to the movies,female,existence,0.7989651237148792,2.3315416066907346,0.0020000000000000013
goes to the movies,female,existence,0.8209834871813655,2.3315416066907346,0.009800000000000005
goes to the movies,female,existence,0.8760829174425453,2.3315416066907346,0.009800000000000005
goes to the movies,female,existence,0.8760829174425453,2.155484550166875,0.008399999999999994
goes to the movies,female,existence,0.8760829174425453,3.1452073017135262,0.004000000000000003
goes to the movies,female,existence,0.843211327213794,3.1452073017135262,0.0035999999999999986
goes to the movies,female,existence,0.9118763781152666,3.1452073017135262,0.0005999999999999994
goes to the movies,female,existence,0.8557283040136099,3.1452073017135262,0.0033999999999999994
goes to the movies,female,existence,0.8425624840892851,3.1452073017135262,0.0005999999999999994
goes to the movies,female,existence,0.8545193327590823,3.1452073017135262,0.011199999999999995
goes to the movies,female,existence,0.8545193327590823,3.180441167205572,0.005999999999999996
goes to the movies,female,existence,0.8545193327590823,3.175166668370366,0.0011999999999999988
goes to the movies,female,existence,0.8913847638759762,3.175166668370366,0.006999999999999998
goes to the movies,female,existence,0.8913847638759762,3.3955841790884733,0.005400000000000001
goes to the movies,female,existence,0.8690313501283526,3.3955841790884733,0.0024
goes to the movies,female,existence,0.8666971297934651,3.3955841790884733,0.004399999999999999
goes to the movies,female,existence,0.8868960223626345,3.3955841790884733,0.00019999999999999985
goes to the movies,female,existence,0.8868960223626345,3.40264713158831,0.003799999999999998
goes to the movies,female,existence,0.8643701614346355,3.40264713158831,0.0020000000000000013
goes to the movies,female,existence,0.8845256417989731,3.40264713158831,0.0032
goes to the movies,female,existence,0.9022953810635954,3.40264713158831,0.004199999999999997
goes to the movies,female,existence,0.8609758797101676,3.40264713158831,0.0025999999999999986
goes to the movies,female,existence,0.8545433166436851,3.40264713158831,0.00019999999999999985
goes to the movies,female,existence,0.9020165440160781,3.40264713158831,0.0009999999999999996
goes to the movies,female,existence,0.8473589352797717,3.40264713158831,0.0021999999999999997
goes to the movies,female,existence,0.8473589352797717,3.148265671916306,0.0011999999999999988
goes to the movies,female,existence,0.8473589352797717,2.4154943297617137,0.0008
goes to the movies,female,existence,0.8516968556214124,2.4154943297617137,0.004399999999999999
goes to the movies,female,existence,0.882312951842323,2.4154943297617137,0.004600000000000001
