"workerid","rt","trial_type","evidenceStatement","freqLevel","characterName","habitual","n","instance","time_period","response","frequency","logFreq"
11,2980,"truthJudge","ran",25,"Stephanie","runs",3,"times","year","disagree-key",3,1.09861228866811
11,4539,"truthJudge","vacationed in Switzerland",50,"Claire","vacations in Switzerland",2,"times","10 years","agree-key",0.2,-1.6094379124341
11,2649,"truthJudge","ran",75,"Alicia","runs",120,"times","year","agree-key",120,4.78749174278205
11,6052,"truthJudge","ate granola for breakfast",25,"Alexander","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
11,2967,"truthJudge","wrote",25,"David","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
11,2684,"truthJudge","drove to work",25,"Gabriel","drives to work",3,"times","week","agree-key",156,5.04985600724954
11,3228,"truthJudge","ate granola for breakfast",75,"Monica","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
11,3637,"truthJudge","stole",25,"Jennifer","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
11,2090,"truthJudge","vacationed in Switzerland",75,"David","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
11,2157,"truthJudge","stole",75,"Stephen","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
11,2051,"truthJudge","drove to work",50,"Lucas","drives to work",4,"times","week","agree-key",208,5.33753807970132
11,3583,"truthJudge","played computer games",25,"Anthony","plays computer games",2,"times","week","agree-key",104,4.64439089914137
11,2975,"truthJudge","drank",25,"Kim","drinks beer",1,"beer","month","agree-key",12,2.484906649788
11,2268,"truthJudge","hiked",50,"Eric","hikes",4,"times","year","agree-key",4,1.38629436111989
12,6939,"truthJudge","drank",25,"Melinda","drinks beer",1,"beer","month","agree-key",12,2.484906649788
12,5399,"truthJudge","ran",50,"Tom","runs",25,"times","year","agree-key",25,3.2188758248682
12,5869,"truthJudge","stole",50,"Greg","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
12,2478,"truthJudge","wrote",75,"Eric","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
12,4725,"truthJudge","hiked",25,"Gabriel","hikes",1,"time","year","disagree-key",1,0
12,2982,"truthJudge","played computer games",75,"Lucas","plays computer games",7,"times","week","agree-key",364,5.89715386763674
12,5182,"truthJudge","ate granola for breakfast",25,"David","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
12,2982,"truthJudge","wrote",25,"John","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
12,9646,"truthJudge","drove to work",25,"Lee","drives to work",3,"times","week","agree-key",156,5.04985600724954
12,1980,"truthJudge","wrote",50,"Gabriel","writes novels",10,"novels","10 years","agree-key",1,0
12,3020,"truthJudge","ran",75,"Alexander","runs",120,"times","year","agree-key",120,4.78749174278205
12,2462,"truthJudge","ate granola for breakfast",75,"Michelle","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
12,4605,"truthJudge","biked to work",25,"Julia","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
12,2989,"truthJudge","biked to work",75,"Laura","bikes to work",24,"times","month","agree-key",288,5.66296048013595
12,5766,"truthJudge","stole",25,"William","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
12,2614,"truthJudge","smoked",50,"Alexander","smokes",7,"times","week","agree-key",364,5.89715386763674
12,5405,"truthJudge","played computer games",25,"Monica","plays computer games",2,"times","week","disagree-key",104,4.64439089914137
12,2525,"truthJudge","smoked",25,"David","smokes",1,"time","week","disagree-key",52,3.95124371858143
12,3574,"truthJudge","played computer games",50,"Stephanie","plays computer games",4,"times","week","agree-key",208,5.33753807970132
12,2638,"truthJudge","drove to work",75,"Anthony","drives to work",5,"times","week","agree-key",260,5.56068163101553
12,1757,"truthJudge","stole",75,"Claire","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
12,6580,"truthJudge","vacationed in Switzerland",25,"Maya","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
12,1966,"truthJudge","ran",25,"Stephen","runs",3,"times","year","disagree-key",3,1.09861228866811
12,5854,"truthJudge","drank",50,"Daniel","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
12,1965,"truthJudge","wrote",50,"Jennifer","writes poems",5,"poems","5 years","disagree-key",1,0
12,2766,"truthJudge","drank",75,"Alicia","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
12,3223,"truthJudge","ate granola for breakfast",50,"Daniel","eats granola for breakfast",5,"times","month","disagree-key",60,4.0943445622221
12,3899,"truthJudge","wrote",25,"Sophia","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
12,7158,"truthJudge","hiked",75,"Kim","hikes",12,"times","year","agree-key",12,2.484906649788
12,2685,"truthJudge","biked to work",50,"Veronica","bikes to work",6,"times","month","disagree-key",72,4.27666611901606
12,4301,"truthJudge","vacationed in Switzerland",75,"Angela","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
12,2253,"truthJudge","smoked",75,"Anthony","smokes",70,"times","week","agree-key",3640,8.19973896063079
12,3171,"truthJudge","wrote",75,"Michael","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
12,2679,"truthJudge","drove to work",50,"Kathleen","drives to work",4,"times","week","agree-key",208,5.33753807970132
12,2046,"truthJudge","vacationed in Switzerland",50,"Cameron","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
12,3965,"truthJudge","hiked",50,"William","hikes",4,"times","year","disagree-key",4,1.38629436111989
13,33923,"truthJudge","wrote",75,"Angela","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
13,12909,"truthJudge","ran",75,"Daniel","runs",120,"times","year","agree-key",120,4.78749174278205
13,9978,"truthJudge","smoked",25,"Julia","smokes",1,"time","week","agree-key",52,3.95124371858143
13,30361,"truthJudge","ate granola for breakfast",50,"Gabriel","eats granola for breakfast",5,"times","month","disagree-key",60,4.0943445622221
13,4923,"truthJudge","biked to work",25,"Michael","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
13,25839,"truthJudge","played computer games",25,"William","plays computer games",2,"times","week","agree-key",104,4.64439089914137
13,11758,"truthJudge","drove to work",25,"William","drives to work",3,"times","week","disagree-key",156,5.04985600724954
13,16635,"truthJudge","stole",50,"Lee","steals cars",2,"cars","10 years","disagree-key",0.2,-1.6094379124341
13,7432,"truthJudge","wrote",75,"David","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
13,19338,"truthJudge","drove to work",50,"Gabriel","drives to work",4,"times","week","disagree-key",208,5.33753807970132
13,7892,"truthJudge","vacationed in Switzerland",50,"Anthony","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
13,9491,"truthJudge","biked to work",50,"Claire","bikes to work",6,"times","month","disagree-key",72,4.27666611901606
13,5383,"truthJudge","ate granola for breakfast",25,"Michelle","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
13,32128,"truthJudge","wrote",50,"Kathleen","writes novels",10,"novels","10 years","agree-key",1,0
13,4791,"truthJudge","drove to work",75,"Alexander","drives to work",5,"times","week","agree-key",260,5.56068163101553
13,6632,"truthJudge","vacationed in Switzerland",75,"Melinda","vacations in Switzerland",6,"times","10 years","disagree-key",0.6,-0.51082562376599
13,3204,"truthJudge","stole",25,"Eric","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
13,7313,"truthJudge","wrote",50,"John","writes poems",5,"poems","5 years","agree-key",1,0
13,2741,"truthJudge","hiked",50,"Daniel","hikes",4,"times","year","disagree-key",4,1.38629436111989
13,10520,"truthJudge","biked to work",75,"Veronica","bikes to work",24,"times","month","agree-key",288,5.66296048013595
13,1869,"truthJudge","hiked",25,"Alexander","hikes",1,"time","year","agree-key",1,0
13,4386,"truthJudge","ate granola for breakfast",75,"Cameron","eats granola for breakfast",15,"times","month","disagree-key",180,5.19295685089021
13,3972,"truthJudge","wrote",25,"Lucas","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
13,11765,"truthJudge","drank",50,"Sophia","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
13,4783,"truthJudge","smoked",50,"David","smokes",7,"times","week","agree-key",364,5.89715386763674
13,4534,"truthJudge","ran",25,"Jennifer","runs",3,"times","year","disagree-key",3,1.09861228866811
13,4683,"truthJudge","smoked",75,"Anthony","smokes",70,"times","week","agree-key",3640,8.19973896063079
13,5291,"truthJudge","drank",25,"Maya","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
13,3798,"truthJudge","vacationed in Switzerland",25,"Monica","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
13,8525,"truthJudge","drank",75,"Tom","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
13,6109,"truthJudge","hiked",75,"Stephen","hikes",12,"times","year","agree-key",12,2.484906649788
13,6024,"truthJudge","played computer games",75,"Kim","plays computer games",7,"times","week","agree-key",364,5.89715386763674
13,5042,"truthJudge","played computer games",50,"Alicia","plays computer games",4,"times","week","agree-key",208,5.33753807970132
13,8400,"truthJudge","stole",75,"Laura","steals cars",5,"cars","10 years","disagree-key",0.5,-0.693147180559945
13,4228,"truthJudge","ran",50,"Greg","runs",25,"times","year","agree-key",25,3.2188758248682
13,14122,"truthJudge","wrote",25,"Stephanie","writes novels",2,"novels","10 years","disagree-key",0.2,-1.6094379124341
14,3841,"truthJudge","ran",50,"Daniel","runs",25,"times","year","agree-key",25,3.2188758248682
14,6895,"truthJudge","wrote",25,"Greg","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
14,2968,"truthJudge","drank",75,"William","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
14,4904,"truthJudge","ate granola for breakfast",75,"Jennifer","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
14,2936,"truthJudge","biked to work",25,"Alicia","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
14,3390,"truthJudge","smoked",50,"Stephen","smokes",7,"times","week","agree-key",364,5.89715386763674
14,3107,"truthJudge","drove to work",50,"Alexander","drives to work",4,"times","week","agree-key",208,5.33753807970132
14,1734,"truthJudge","drank",25,"Kim","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
14,9106,"truthJudge","vacationed in Switzerland",50,"Veronica","vacations in Switzerland",2,"times","10 years","agree-key",0.2,-1.6094379124341
14,4261,"truthJudge","biked to work",50,"Anthony","bikes to work",6,"times","month","disagree-key",72,4.27666611901606
14,3472,"truthJudge","played computer games",25,"David","plays computer games",2,"times","week","disagree-key",104,4.64439089914137
14,1985,"truthJudge","smoked",25,"Maya","smokes",1,"time","week","disagree-key",52,3.95124371858143
14,2562,"truthJudge","wrote",50,"Melinda","writes poems",5,"poems","5 years","disagree-key",1,0
14,2297,"truthJudge","ran",25,"Sophia","runs",3,"times","year","disagree-key",3,1.09861228866811
14,2850,"truthJudge","stole",50,"Daniel","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
14,2991,"truthJudge","wrote",25,"William","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
14,5383,"truthJudge","drank",50,"Angela","drinks beer",5,"beers","month","disagree-key",60,4.0943445622221
14,3801,"truthJudge","vacationed in Switzerland",25,"Monica","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
14,4258,"truthJudge","stole",75,"Michael","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
14,2545,"truthJudge","vacationed in Switzerland",75,"Kathleen","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
14,2768,"truthJudge","biked to work",75,"Anthony","bikes to work",24,"times","month","agree-key",288,5.66296048013595
14,2697,"truthJudge","played computer games",50,"Stephanie","plays computer games",4,"times","week","agree-key",208,5.33753807970132
14,3848,"truthJudge","ate granola for breakfast",25,"Gabriel","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
14,4609,"truthJudge","drove to work",75,"Eric","drives to work",5,"times","week","agree-key",260,5.56068163101553
14,2137,"truthJudge","ate granola for breakfast",50,"Julia","eats granola for breakfast",5,"times","month","disagree-key",60,4.0943445622221
14,2113,"truthJudge","wrote",75,"Gabriel","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
14,3602,"truthJudge","drove to work",25,"Claire","drives to work",3,"times","week","agree-key",156,5.04985600724954
14,4099,"truthJudge","stole",25,"John","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
14,2858,"truthJudge","hiked",75,"Michelle","hikes",12,"times","year","agree-key",12,2.484906649788
14,2603,"truthJudge","wrote",75,"Lucas","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
14,2037,"truthJudge","smoked",75,"Lee","smokes",70,"times","week","agree-key",3640,8.19973896063079
14,4513,"truthJudge","hiked",50,"Tom","hikes",4,"times","year","agree-key",4,1.38629436111989
14,2437,"truthJudge","hiked",25,"Alexander","hikes",1,"time","year","disagree-key",1,0
14,1814,"truthJudge","ran",75,"David","runs",120,"times","year","agree-key",120,4.78749174278205
14,4328,"truthJudge","played computer games",75,"Laura","plays computer games",7,"times","week","agree-key",364,5.89715386763674
14,2449,"truthJudge","wrote",50,"Cameron","writes novels",10,"novels","10 years","agree-key",1,0
15,7036,"truthJudge","played computer games",25,"Stephen","plays computer games",2,"times","week","agree-key",104,4.64439089914137
15,4961,"truthJudge","drove to work",75,"Julia","drives to work",5,"times","week","agree-key",260,5.56068163101553
15,3931,"truthJudge","hiked",50,"Maya","hikes",4,"times","year","agree-key",4,1.38629436111989
15,5194,"truthJudge","wrote",25,"Daniel","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
15,4992,"truthJudge","vacationed in Switzerland",75,"Greg","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
15,5850,"truthJudge","smoked",25,"Eric","smokes",1,"time","week","agree-key",52,3.95124371858143
15,3261,"truthJudge","ran",50,"William","runs",25,"times","year","agree-key",25,3.2188758248682
15,2917,"truthJudge","wrote",75,"Sophia","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
15,4478,"truthJudge","ate granola for breakfast",25,"David","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
15,4898,"truthJudge","wrote",75,"Kathleen","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
15,5320,"truthJudge","biked to work",50,"Veronica","bikes to work",6,"times","month","disagree-key",72,4.27666611901606
15,2090,"truthJudge","ran",75,"Daniel","runs",120,"times","year","agree-key",120,4.78749174278205
15,2231,"truthJudge","hiked",25,"Alexander","hikes",1,"time","year","disagree-key",1,0
15,2777,"truthJudge","drank",25,"John","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
15,2683,"truthJudge","ate granola for breakfast",50,"Monica","eats granola for breakfast",5,"times","month","disagree-key",60,4.0943445622221
15,2496,"truthJudge","drank",75,"Angela","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
15,2980,"truthJudge","wrote",25,"Cameron","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
15,3260,"truthJudge","drove to work",25,"Gabriel","drives to work",3,"times","week","agree-key",156,5.04985600724954
15,3494,"truthJudge","drank",50,"Lee","drinks beer",5,"beers","month","disagree-key",60,4.0943445622221
15,2777,"truthJudge","hiked",75,"Claire","hikes",12,"times","year","agree-key",12,2.484906649788
15,1685,"truthJudge","wrote",50,"David","writes novels",10,"novels","10 years","agree-key",1,0
15,2558,"truthJudge","smoked",50,"Michael","smokes",7,"times","week","agree-key",364,5.89715386763674
15,7675,"truthJudge","stole",25,"Stephanie","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
15,2340,"truthJudge","wrote",50,"Jennifer","writes poems",5,"poems","5 years","agree-key",1,0
15,2745,"truthJudge","biked to work",25,"Michelle","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
15,2215,"truthJudge","ate granola for breakfast",75,"Melinda","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
15,2278,"truthJudge","vacationed in Switzerland",25,"William","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
15,2387,"truthJudge","stole",75,"Alicia","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
15,2277,"truthJudge","drove to work",50,"Alexander","drives to work",4,"times","week","agree-key",208,5.33753807970132
15,2184,"truthJudge","biked to work",75,"Tom","bikes to work",24,"times","month","agree-key",288,5.66296048013595
15,2247,"truthJudge","played computer games",50,"Anthony","plays computer games",4,"times","week","agree-key",208,5.33753807970132
15,1919,"truthJudge","smoked",75,"Laura","smokes",70,"times","week","agree-key",3640,8.19973896063079
15,1669,"truthJudge","played computer games",75,"Anthony","plays computer games",7,"times","week","agree-key",364,5.89715386763674
15,3057,"truthJudge","vacationed in Switzerland",50,"Lucas","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
15,2621,"truthJudge","ran",25,"Kim","runs",3,"times","year","disagree-key",3,1.09861228866811
15,3057,"truthJudge","stole",50,"Gabriel","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
16,6382,"truthJudge","drank",50,"Anthony","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
16,4436,"truthJudge","smoked",75,"Angela","smokes",70,"times","week","agree-key",3640,8.19973896063079
16,3397,"truthJudge","drank",75,"Cameron","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
16,5541,"truthJudge","vacationed in Switzerland",25,"Laura","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
16,4038,"truthJudge","wrote",25,"John","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
16,4917,"truthJudge","played computer games",25,"Veronica","plays computer games",2,"times","week","agree-key",104,4.64439089914137
16,4438,"truthJudge","vacationed in Switzerland",50,"Gabriel","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
16,4437,"truthJudge","biked to work",50,"Daniel","bikes to work",6,"times","month","agree-key",72,4.27666611901606
16,4534,"truthJudge","hiked",75,"Michelle","hikes",12,"times","year","agree-key",12,2.484906649788
16,4325,"truthJudge","wrote",50,"Gabriel","writes poems",5,"poems","5 years","agree-key",1,0
16,2999,"truthJudge","ran",75,"Greg","runs",120,"times","year","agree-key",120,4.78749174278205
16,5494,"truthJudge","wrote",50,"William","writes novels",10,"novels","10 years","agree-key",1,0
16,3526,"truthJudge","hiked",25,"David","hikes",1,"time","year","disagree-key",1,0
16,2901,"truthJudge","stole",75,"Lee","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
16,4758,"truthJudge","ate granola for breakfast",75,"Melinda","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
16,5014,"truthJudge","drove to work",25,"Sophia","drives to work",3,"times","week","agree-key",156,5.04985600724954
16,2821,"truthJudge","wrote",75,"William","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
16,3765,"truthJudge","hiked",50,"Stephen","hikes",4,"times","year","agree-key",4,1.38629436111989
16,3334,"truthJudge","drove to work",50,"Michael","drives to work",4,"times","week","agree-key",208,5.33753807970132
16,6342,"truthJudge","ran",25,"Alexander","runs",3,"times","year","disagree-key",3,1.09861228866811
16,6165,"truthJudge","ate granola for breakfast",50,"Daniel","eats granola for breakfast",5,"times","month","agree-key",60,4.0943445622221
16,3511,"truthJudge","wrote",75,"Eric","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
16,5158,"truthJudge","ate granola for breakfast",25,"Kathleen","eats granola for breakfast",2,"times","month","agree-key",24,3.17805383034795
16,4693,"truthJudge","played computer games",75,"Stephanie","plays computer games",7,"times","week","agree-key",364,5.89715386763674
16,7943,"truthJudge","drove to work",75,"Jennifer","drives to work",5,"times","week","agree-key",260,5.56068163101553
16,2438,"truthJudge","stole",50,"Claire","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
16,3029,"truthJudge","biked to work",75,"David","bikes to work",24,"times","month","agree-key",288,5.66296048013595
16,2837,"truthJudge","wrote",25,"Maya","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
16,4278,"truthJudge","ran",50,"Monica","runs",25,"times","year","agree-key",25,3.2188758248682
16,3478,"truthJudge","smoked",50,"Julia","smokes",7,"times","week","agree-key",364,5.89715386763674
16,3780,"truthJudge","drank",25,"Kim","drinks beer",1,"beer","month","agree-key",12,2.484906649788
16,3206,"truthJudge","played computer games",50,"Anthony","plays computer games",4,"times","week","agree-key",208,5.33753807970132
16,4901,"truthJudge","vacationed in Switzerland",75,"Lucas","vacations in Switzerland",6,"times","10 years","agree-key",0.6,-0.51082562376599
16,2724,"truthJudge","stole",25,"Tom","steals cars",1,"car","10 years","agree-key",0.1,-2.30258509299405
16,9414,"truthJudge","biked to work",25,"Alexander","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
16,3526,"truthJudge","smoked",25,"Alicia","smokes",1,"time","week","agree-key",52,3.95124371858143
17,10085,"truthJudge","smoked",25,"Laura","smokes",1,"time","week","agree-key",52,3.95124371858143
17,3127,"truthJudge","hiked",50,"Monica","hikes",4,"times","year","agree-key",4,1.38629436111989
17,2144,"truthJudge","stole",50,"Kim","steals cars",2,"cars","10 years","agree-key",0.2,-1.6094379124341
17,1846,"truthJudge","biked to work",75,"Daniel","bikes to work",24,"times","month","agree-key",288,5.66296048013595
17,4634,"truthJudge","vacationed in Switzerland",50,"Alexander","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
17,1570,"truthJudge","stole",25,"Veronica","steals cars",1,"car","10 years","agree-key",0.1,-2.30258509299405
17,2622,"truthJudge","vacationed in Switzerland",25,"Greg","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
17,1317,"truthJudge","drove to work",25,"William","drives to work",3,"times","week","agree-key",156,5.04985600724954
17,1511,"truthJudge","ran",50,"Cameron","runs",25,"times","year","agree-key",25,3.2188758248682
17,1364,"truthJudge","biked to work",25,"Angela","bikes to work",2,"times","month","agree-key",24,3.17805383034795
17,1554,"truthJudge","played computer games",25,"Melinda","plays computer games",2,"times","week","agree-key",104,4.64439089914137
17,1073,"truthJudge","wrote",50,"Gabriel","writes novels",10,"novels","10 years","agree-key",1,0
17,1288,"truthJudge","ran",75,"Stephanie","runs",120,"times","year","agree-key",120,4.78749174278205
17,1875,"truthJudge","drove to work",75,"Stephen","drives to work",5,"times","week","agree-key",260,5.56068163101553
17,2551,"truthJudge","smoked",75,"Michael","smokes",70,"times","week","agree-key",3640,8.19973896063079
17,1119,"truthJudge","played computer games",75,"David","plays computer games",7,"times","week","agree-key",364,5.89715386763674
17,1027,"truthJudge","wrote",25,"Gabriel","writes novels",2,"novels","10 years","agree-key",0.2,-1.6094379124341
17,2690,"truthJudge","drank",25,"Lee","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
17,1305,"truthJudge","wrote",50,"Sophia","writes poems",5,"poems","5 years","agree-key",1,0
17,2131,"truthJudge","wrote",25,"David","writes poems",1,"poem","5 years","disagree-key",0.2,-1.6094379124341
17,2143,"truthJudge","smoked",50,"Lucas","smokes",7,"times","week","agree-key",364,5.89715386763674
17,2096,"truthJudge","drank",50,"Anthony","drinks beer",5,"beers","month","disagree-key",60,4.0943445622221
17,2384,"truthJudge","hiked",25,"William","hikes",1,"time","year","disagree-key",1,0
17,1088,"truthJudge","wrote",75,"Anthony","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
17,2840,"truthJudge","ate granola for breakfast",75,"Kathleen","eats granola for breakfast",15,"times","month","disagree-key",180,5.19295685089021
17,2081,"truthJudge","biked to work",50,"John","bikes to work",6,"times","month","agree-key",72,4.27666611901606
17,2416,"truthJudge","ate granola for breakfast",50,"Alicia","eats granola for breakfast",5,"times","month","agree-key",60,4.0943445622221
17,1903,"truthJudge","vacationed in Switzerland",75,"Claire","vacations in Switzerland",6,"times","10 years","disagree-key",0.6,-0.51082562376599
17,1681,"truthJudge","drove to work",50,"Maya","drives to work",4,"times","week","agree-key",208,5.33753807970132
17,1373,"truthJudge","hiked",75,"Jennifer","hikes",12,"times","year","agree-key",12,2.484906649788
17,2510,"truthJudge","ate granola for breakfast",25,"Julia","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
17,2098,"truthJudge","played computer games",50,"Daniel","plays computer games",4,"times","week","agree-key",208,5.33753807970132
17,1255,"truthJudge","drank",75,"Eric","drinks beer",15,"beers","month","disagree-key",180,5.19295685089021
17,2220,"truthJudge","wrote",75,"Alexander","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
17,1359,"truthJudge","stole",75,"Michelle","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
17,2488,"truthJudge","ran",25,"Tom","runs",3,"times","year","disagree-key",3,1.09861228866811
18,5814,"truthJudge","wrote",75,"Alexander","writes poems",30,"poems","5 years","agree-key",6,1.79175946922805
18,4031,"truthJudge","drank",25,"Kim","drinks beer",1,"beer","month","disagree-key",12,2.484906649788
18,4628,"truthJudge","ate granola for breakfast",25,"Monica","eats granola for breakfast",2,"times","month","disagree-key",24,3.17805383034795
18,1699,"truthJudge","wrote",75,"Cameron","writes novels",20,"novels","10 years","agree-key",2,0.693147180559945
18,2080,"truthJudge","biked to work",75,"Maya","bikes to work",24,"times","month","agree-key",288,5.66296048013595
18,3179,"truthJudge","hiked",50,"Jennifer","hikes",4,"times","year","disagree-key",4,1.38629436111989
18,1858,"truthJudge","wrote",25,"David","writes novels",2,"novels","10 years","disagree-key",0.2,-1.6094379124341
18,2800,"truthJudge","stole",25,"Daniel","steals cars",1,"car","10 years","disagree-key",0.1,-2.30258509299405
18,2922,"truthJudge","stole",75,"Michael","steals cars",5,"cars","10 years","agree-key",0.5,-0.693147180559945
18,5024,"truthJudge","drove to work",25,"Veronica","drives to work",3,"times","week","agree-key",156,5.04985600724954
18,2967,"truthJudge","drank",50,"Sophia","drinks beer",5,"beers","month","agree-key",60,4.0943445622221
18,2320,"truthJudge","ran",50,"Lucas","runs",25,"times","year","agree-key",25,3.2188758248682
18,3250,"truthJudge","vacationed in Switzerland",50,"John","vacations in Switzerland",2,"times","10 years","disagree-key",0.2,-1.6094379124341
18,1903,"truthJudge","smoked",75,"Melinda","smokes",70,"times","week","agree-key",3640,8.19973896063079
18,2047,"truthJudge","biked to work",50,"Julia","bikes to work",6,"times","month","agree-key",72,4.27666611901606
18,3224,"truthJudge","ate granola for breakfast",75,"Claire","eats granola for breakfast",15,"times","month","agree-key",180,5.19295685089021
18,2517,"truthJudge","ran",25,"Michelle","runs",3,"times","year","disagree-key",3,1.09861228866811
18,2597,"truthJudge","smoked",25,"Laura","smokes",1,"time","week","disagree-key",52,3.95124371858143
18,2406,"truthJudge","vacationed in Switzerland",25,"Alexander","vacations in Switzerland",1,"time","10 years","disagree-key",0.1,-2.30258509299405
18,1747,"truthJudge","hiked",25,"Alicia","hikes",1,"time","year","disagree-key",1,0
18,2230,"truthJudge","played computer games",25,"Tom","plays computer games",2,"times","week","disagree-key",104,4.64439089914137
18,1848,"truthJudge","ran",75,"Lee","runs",120,"times","year","agree-key",120,4.78749174278205
18,2522,"truthJudge","played computer games",75,"Daniel","plays computer games",7,"times","week","agree-key",364,5.89715386763674
18,2173,"truthJudge","hiked",75,"Gabriel","hikes",12,"times","year","agree-key",12,2.484906649788
18,2469,"truthJudge","wrote",50,"Greg","writes novels",10,"novels","10 years","agree-key",1,0
18,3520,"truthJudge","wrote",50,"Stephen","writes poems",5,"poems","5 years","agree-key",1,0
18,2233,"truthJudge","drank",75,"Stephanie","drinks beer",15,"beers","month","agree-key",180,5.19295685089021
18,2390,"truthJudge","drove to work",50,"Eric","drives to work",4,"times","week","agree-key",208,5.33753807970132
18,2361,"truthJudge","biked to work",25,"Gabriel","bikes to work",2,"times","month","disagree-key",24,3.17805383034795
